7	1738259025315	1738259025356
9	1738259025348	1738259025357
11	1738259025350	1738259025360
10	1738259025348	1738259025360
7	1738259025330	1738259025361
6	1738259025346	1738259025362
8	1738259025349	1738259025363
4	1738259025353	1738259025367



4	1738259025336	1738259025344
8	1738259025334	1738259025348
5	1738259025325	1738259025348
9	1738259025334	1738259025348
11	1738259025336	1738259025351
6	1738259025332	1738259025352
10	1738259025333	1738259025352
7	1738259025315	1738259025356
