id,parent_id,elapsed_ns,span_name,file_name,call_depth,metadata
4503599627370497,0,415502,process,trace-to-events/src/processing.rs,1,{}
4503599627370497,0,473932,process,trace-to-events/src/processing.rs,1,{}
4503599627370497,0,570924,process,trace-to-events/src/processing.rs,1,{}
2255098348568578,2255098348568577,91311,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"26"}
2255098348568577,6755399441055745,118870,find_channel_events,trace-to-events/src/processing.rs,2,{}
6755399441055745,0,51140,process,trace-to-events/src/processing.rs,1,{}
6756498952683522,6756498952683521,123701,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"25"}
6756498952683521,6755399441055745,130981,find_channel_events,trace-to-events/src/processing.rs,2,{}
6755399441055745,0,97831,process,trace-to-events/src/processing.rs,1,{}
6757598464311298,6757598464311297,143551,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"20"}
6757598464311297,6755399441055745,158181,find_channel_events,trace-to-events/src/processing.rs,2,{}
4506623284346882,4506623284346881,120371,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"31"}
6755399441055745,0,127581,process,trace-to-events/src/processing.rs,1,{}
4506623284346881,6755399441055745,131961,find_channel_events,trace-to-events/src/processing.rs,2,{}
6755399441055745,0,138281,process,trace-to-events/src/processing.rs,1,{}
4506898162253826,4506898162253825,93240,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"39"}
4506348406439938,4506348406439937,111970,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"42"}
4506898162253825,6755399441055745,113380,find_channel_events,trace-to-events/src/processing.rs,2,{}
4506348406439937,6755399441055745,123400,find_channel_events,trace-to-events/src/processing.rs,2,{}
6755399441055745,0,55090,process,trace-to-events/src/processing.rs,1,{}
6755399441055745,0,59780,process,trace-to-events/src/processing.rs,1,{}
6755674318962690,6755674318962689,170311,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"31"}
6755674318962689,6755399441055745,197061,find_channel_events,trace-to-events/src/processing.rs,2,{}
6755399441055745,0,223272,process,trace-to-events/src/processing.rs,1,{}
2253174203219970,2253174203219969,1207479,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"41"}
2253174203219969,6755399441055745,1227209,find_channel_events,trace-to-events/src/processing.rs,2,{}
6755399441055745,0,1161739,process,trace-to-events/src/processing.rs,1,{}
6755399441055745,0,1301100,process,trace-to-events/src/processing.rs,1,{}
6755949196869634,6755949196869633,99721,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"24"}
2255373226475522,2255373226475521,92311,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"54"}
4505523772719106,4505523772719105,96130,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"38"}
9008298766368770,9008298766368769,118060,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"52"}
4505523772719105,9007199254740993,116651,find_channel_events,trace-to-events/src/processing.rs,2,{}
9008298766368769,9007199254740993,125531,find_channel_events,trace-to-events/src/processing.rs,2,{}
9007199254740993,0,115671,process,trace-to-events/src/processing.rs,1,{}
2255373226475521,9007199254740993,139921,find_channel_events,trace-to-events/src/processing.rs,2,{}
9007199254740993,0,118370,process,trace-to-events/src/processing.rs,1,{}
3848290697218,3848290697217,84299,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"47"}
9007199254740993,0,122580,process,trace-to-events/src/processing.rs,1,{}
3848290697217,9007199254740993,101550,find_channel_events,trace-to-events/src/processing.rs,2,{}
9007199254740993,0,138970,process,trace-to-events/src/processing.rs,1,{}
9009398277996546,9009398277996545,167031,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"42"}
9009398277996545,9007199254740993,179622,find_channel_events,trace-to-events/src/processing.rs,2,{}
9007199254740993,0,177122,process,trace-to-events/src/processing.rs,1,{}
6755949196869633,9007199254740993,338212,find_channel_events,trace-to-events/src/processing.rs,2,{}
6758423098032130,6758423098032129,370803,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"52"}
6758423098032129,9007199254740993,385763,find_channel_events,trace-to-events/src/processing.rs,2,{}
9007474132647938,9007474132647937,541475,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"22"}
9007199254740993,0,332532,process,trace-to-events/src/processing.rs,1,{}
9007199254740993,0,425343,process,trace-to-events/src/processing.rs,1,{}
9007474132647937,9007199254740993,651036,find_channel_events,trace-to-events/src/processing.rs,2,{}
9007199254740993,0,517814,process,trace-to-events/src/processing.rs,1,{}
9007199254740993,0,575914,process,trace-to-events/src/processing.rs,1,{}
11260098580054018,11260098580054017,119061,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"40"}
11260098580054017,11258999068426241,138971,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,8811,process,trace-to-events/src/processing.rs,1,{}
9010222911717378,9010222911717377,134912,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"18"}
9010222911717377,11258999068426241,143411,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,53991,process,trace-to-events/src/processing.rs,1,{}
2255648104382466,2255648104382465,101601,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"13"}
9007749010554882,9007749010554881,94501,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"30"}
9007749010554881,11258999068426241,102292,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,87622,process,trace-to-events/src/processing.rs,1,{}
2255648104382465,11258999068426241,116501,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,92142,process,trace-to-events/src/processing.rs,1,{}
2254273714847746,2254273714847745,104701,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"41"}
2254273714847745,11258999068426241,113261,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,122222,process,trace-to-events/src/processing.rs,1,{}
6758697975939074,6758697975939073,272592,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"31"}
6758697975939073,11258999068426241,296182,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,245143,process,trace-to-events/src/processing.rs,1,{}
11261198091681794,11261198091681793,258612,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"12"}
11261198091681793,11258999068426241,272053,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,265722,process,trace-to-events/src/processing.rs,1,{}
11259273946333186,11259273946333185,505464,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"46"}
11259273946333185,11258999068426241,562674,find_channel_events,trace-to-events/src/processing.rs,2,{}
11258999068426241,0,515554,process,trace-to-events/src/processing.rs,1,{}
11258999068426241,0,577635,process,trace-to-events/src/processing.rs,1,{}
11259548824240130,11259548824240129,91691,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"58"}
13511073760018434,13511073760018433,98961,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"33"}
13511898393739266,13511898393739265,113781,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"38"}
13511898393739265,13510798882111489,120831,find_channel_events,trace-to-events/src/processing.rs,2,{}
13511073760018433,13510798882111489,114921,find_channel_events,trace-to-events/src/processing.rs,2,{}
13510798882111489,0,97711,process,trace-to-events/src/processing.rs,1,{}
13510798882111489,0,99771,process,trace-to-events/src/processing.rs,1,{}
4507447918067714,4507447918067713,125711,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"35"}
6758148220125186,6758148220125185,124820,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"28"}
6758148220125185,13510798882111489,133520,find_channel_events,trace-to-events/src/processing.rs,2,{}
4507447918067713,13510798882111489,142401,find_channel_events,trace-to-events/src/processing.rs,2,{}
13510798882111489,0,142711,process,trace-to-events/src/processing.rs,1,{}
13510798882111489,0,154202,process,trace-to-events/src/processing.rs,1,{}
13512997905367042,13512997905367041,214211,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"58"}
11259548824240129,13510798882111489,117291,find_channel_events,trace-to-events/src/processing.rs,2,{}
13512997905367041,13510798882111489,263721,find_channel_events,trace-to-events/src/processing.rs,2,{}
13510798882111489,0,90230,process,trace-to-events/src/processing.rs,1,{}
4507173040160770,4507173040160769,88640,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"21"}
4507173040160769,13510798882111489,95800,find_channel_events,trace-to-events/src/processing.rs,2,{}
13510798882111489,0,108211,process,trace-to-events/src/processing.rs,1,{}
11262022725402626,11262022725402625,85681,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"11"}
11262022725402625,13510798882111489,138432,find_channel_events,trace-to-events/src/processing.rs,2,{}
13510798882111489,0,121961,process,trace-to-events/src/processing.rs,1,{}
13510798882111489,0,206451,process,trace-to-events/src/processing.rs,1,{}
13510798882111489,0,254582,process,trace-to-events/src/processing.rs,1,{}
13511348637925378,13511348637925377,86661,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"31"}
15762873573703682,15762873573703681,95702,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"7"}
6758972853846018,6758972853846017,104971,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"15"}
15763698207424514,15763698207424513,115430,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"3"}
6757323586404354,6757323586404353,88092,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"5"}
9009948033810434,9009948033810433,105841,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"45"}
6757323586404353,15762598695796737,97201,find_channel_events,trace-to-events/src/processing.rs,2,{}
15763698207424513,15762598695796737,128532,find_channel_events,trace-to-events/src/processing.rs,2,{}
15762598695796737,0,75460,process,trace-to-events/src/processing.rs,1,{}
15762873573703681,15762598695796737,158991,find_channel_events,trace-to-events/src/processing.rs,2,{}
15762598695796737,0,77310,process,trace-to-events/src/processing.rs,1,{}
9009948033810433,15762598695796737,119521,find_channel_events,trace-to-events/src/processing.rs,2,{}
6758972853846017,15762598695796737,158081,find_channel_events,trace-to-events/src/processing.rs,2,{}
15762598695796737,0,82329,process,trace-to-events/src/processing.rs,1,{}
15764797719052290,15764797719052289,133151,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"55"}
15762598695796737,0,83929,process,trace-to-events/src/processing.rs,1,{}
15764797719052289,15762598695796737,141512,find_channel_events,trace-to-events/src/processing.rs,2,{}
15762598695796737,0,85780,process,trace-to-events/src/processing.rs,1,{}
15762598695796737,0,94600,process,trace-to-events/src/processing.rs,1,{}
9010497789624322,9010497789624321,91931,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"41"}
9010497789624321,15762598695796737,100451,find_channel_events,trace-to-events/src/processing.rs,2,{}
15762598695796737,0,108049,process,trace-to-events/src/processing.rs,1,{}
13511348637925377,15762598695796737,303463,find_channel_events,trace-to-events/src/processing.rs,2,{}
15762598695796737,0,272951,process,trace-to-events/src/processing.rs,1,{}
15762598695796737,0,307691,process,trace-to-events/src/processing.rs,1,{}
15763148451610626,15763148451610625,89940,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"54"}
18015498021109762,18015498021109761,93511,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"15"}
11261747847495682,11261747847495681,111671,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"22"}
9010772667531266,9010772667531265,112681,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"46"}
9010772667531265,18014398509481985,126121,find_channel_events,trace-to-events/src/processing.rs,2,{}
18014398509481985,0,74930,process,trace-to-events/src/processing.rs,1,{}
9009123400089602,9009123400089601,91680,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"48"}
9009123400089601,18014398509481985,101760,find_channel_events,trace-to-events/src/processing.rs,2,{}
18015498021109761,18014398509481985,203091,find_channel_events,trace-to-events/src/processing.rs,2,{}
18014398509481985,0,109150,process,trace-to-events/src/processing.rs,1,{}
18014398509481985,0,111570,process,trace-to-events/src/processing.rs,1,{}
11261747847495681,18014398509481985,173361,find_channel_events,trace-to-events/src/processing.rs,2,{}
18014398509481985,0,115600,process,trace-to-events/src/processing.rs,1,{}
18014673387388930,18014673387388929,120480,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"50"}
18014673387388929,18014398509481985,129501,find_channel_events,trace-to-events/src/processing.rs,2,{}
18014398509481985,0,128411,process,trace-to-events/src/processing.rs,1,{}
18016597532737538,18016597532737537,170212,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"43"}
18016597532737537,18014398509481985,182522,find_channel_events,trace-to-events/src/processing.rs,2,{}
18014398509481985,0,160381,process,trace-to-events/src/processing.rs,1,{}
13513822539087874,13513822539087873,313492,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"32"}
13513822539087873,18014398509481985,334643,find_channel_events,trace-to-events/src/processing.rs,2,{}
18014398509481985,0,270973,process,trace-to-events/src/processing.rs,1,{}
15763148451610625,18014398509481985,426403,find_channel_events,trace-to-events/src/processing.rs,2,{}
18014398509481985,0,361312,process,trace-to-events/src/processing.rs,1,{}
18014398509481985,0,389413,process,trace-to-events/src/processing.rs,1,{}
20266473201074178,20266473201074177,89830,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"43"}
18014948265295874,18014948265295873,91720,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"56"}
20267297834795010,20267297834795009,112681,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"10"}
18014948265295873,20266198323167233,100240,find_channel_events,trace-to-events/src/processing.rs,2,{}
20267297834795009,20266198323167233,119591,find_channel_events,trace-to-events/src/processing.rs,2,{}
20266198323167233,0,103390,process,trace-to-events/src/processing.rs,1,{}
20266473201074177,20266198323167233,109950,find_channel_events,trace-to-events/src/processing.rs,2,{}
20268397346422786,20268397346422785,95101,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"44"}
20266198323167233,0,105721,process,trace-to-events/src/processing.rs,1,{}
20266198323167233,0,108321,process,trace-to-events/src/processing.rs,1,{}
20268397346422785,20266198323167233,104380,find_channel_events,trace-to-events/src/processing.rs,2,{}
20266198323167233,0,118731,process,trace-to-events/src/processing.rs,1,{}
20266748078981122,20266748078981121,98830,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"20"}
11262572481216514,11262572481216513,155981,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"4"}
13513547661180930,13513547661180929,133071,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"47"}
11262572481216513,20266198323167233,171161,find_channel_events,trace-to-events/src/processing.rs,2,{}
20266198323167233,0,122052,process,trace-to-events/src/processing.rs,1,{}
20266748078981121,20266198323167233,119501,find_channel_events,trace-to-events/src/processing.rs,2,{}
13513547661180929,20266198323167233,140961,find_channel_events,trace-to-events/src/processing.rs,2,{}
20266198323167233,0,127041,process,trace-to-events/src/processing.rs,1,{}
20266198323167233,0,163462,process,trace-to-events/src/processing.rs,1,{}
22518273014759426,22518273014759425,181201,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"42"}
22518273014759425,20266198323167233,239922,find_channel_events,trace-to-events/src/processing.rs,2,{}
20266198323167233,0,279673,process,trace-to-events/src/processing.rs,1,{}
20266198323167233,0,338423,process,trace-to-events/src/processing.rs,1,{}
22518547892666370,22518547892666369,94301,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"53"}
22518547892666369,22517998136852481,123061,find_channel_events,trace-to-events/src/processing.rs,2,{}
22517998136852481,0,3791,process,trace-to-events/src/processing.rs,1,{}
24770072828444674,24770072828444673,104660,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"16"}
24770072828444673,22517998136852481,114141,find_channel_events,trace-to-events/src/processing.rs,2,{}
22517998136852481,0,17640,process,trace-to-events/src/processing.rs,1,{}
15765347474866178,15765347474866177,91811,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"38"}
22519097648480258,22519097648480257,120441,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"49"}
11262297603309570,11262297603309569,108772,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"38"}
15765347474866177,22517998136852481,109301,find_channel_events,trace-to-events/src/processing.rs,2,{}
22519097648480257,22517998136852481,133582,find_channel_events,trace-to-events/src/processing.rs,2,{}
22517998136852481,0,51800,process,trace-to-events/src/processing.rs,1,{}
11262297603309569,22517998136852481,122681,find_channel_events,trace-to-events/src/processing.rs,2,{}
22517998136852481,0,54080,process,trace-to-events/src/processing.rs,1,{}
22517998136852481,0,56780,process,trace-to-events/src/processing.rs,1,{}
15765622352773122,15765622352773121,175712,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"7"}
15765622352773121,22517998136852481,195261,find_channel_events,trace-to-events/src/processing.rs,2,{}
22517998136852481,0,95151,process,trace-to-events/src/processing.rs,1,{}
13514372294901762,13514372294901761,78830,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"34"}
4504974016905218,4504974016905217,92840,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"0"}
4504974016905217,22517998136852481,103220,find_channel_events,trace-to-events/src/processing.rs,2,{}
13514372294901761,22517998136852481,96771,find_channel_events,trace-to-events/src/processing.rs,2,{}
22517998136852481,0,114321,process,trace-to-events/src/processing.rs,1,{}
22517998136852481,0,118091,process,trace-to-events/src/processing.rs,1,{}
22517998136852481,0,240731,process,trace-to-events/src/processing.rs,1,{}
27021872642129922,27021872642129921,87082,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"19"}
27021872642129921,24769797950537729,111222,find_channel_events,trace-to-events/src/processing.rs,2,{}
24769797950537729,0,60981,process,trace-to-events/src/processing.rs,1,{}
22520197160108034,22520197160108033,109770,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"42"}
13514097416994818,13514097416994817,104590,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"9"}
15766172108587010,15766172108587009,93490,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"48"}
22520197160108033,24769797950537729,125320,find_channel_events,trace-to-events/src/processing.rs,2,{}
13514097416994817,24769797950537729,113130,find_channel_events,trace-to-events/src/processing.rs,2,{}
24769797950537729,0,88891,process,trace-to-events/src/processing.rs,1,{}
15766172108587009,24769797950537729,102430,find_channel_events,trace-to-events/src/processing.rs,2,{}
24769797950537729,0,91141,process,trace-to-events/src/processing.rs,1,{}
18017147288551426,18017147288551425,110040,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"45"}
24769797950537729,0,96211,process,trace-to-events/src/processing.rs,1,{}
18017147288551425,24769797950537729,119409,find_channel_events,trace-to-events/src/processing.rs,2,{}
24769797950537729,0,101702,process,trace-to-events/src/processing.rs,1,{}
6756773830590466,6756773830590465,105332,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"48"}
24770897462165506,24770897462165505,114090,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"34"}
24770897462165505,24769797950537729,125291,find_channel_events,trace-to-events/src/processing.rs,2,{}
6756773830590465,24769797950537729,119001,find_channel_events,trace-to-events/src/processing.rs,2,{}
24769797950537729,0,125022,process,trace-to-events/src/processing.rs,1,{}
24769797950537729,0,127492,process,trace-to-events/src/processing.rs,1,{}
24770347706351618,24770347706351617,245791,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"16"}
24770347706351617,24769797950537729,327212,find_channel_events,trace-to-events/src/processing.rs,2,{}
24769797950537729,0,330783,process,trace-to-events/src/processing.rs,1,{}
24769797950537729,0,438804,process,trace-to-events/src/processing.rs,1,{}
18017422166458370,18017422166458369,102512,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"50"}
18017971922272258,18017971922272257,96051,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"33"}
15765897230680066,15765897230680065,64002,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"44"}
18017422166458369,27021597764222977,126501,find_channel_events,trace-to-events/src/processing.rs,2,{}
27021597764222977,0,92971,process,trace-to-events/src/processing.rs,1,{}
27022697275850754,27022697275850753,111661,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"13"}
24771996973793282,24771996973793281,94221,find_fixed_threshold_events,trace-to-events/src/processing.rs,3,{"num_pulses":"53"}
24771996973793281,27021597764222977,100962,find_channel_events,trace-to-events/src/processing.rs,2,{}
27022697275850753,27021597764222977,118302,find_channel_events,trace-to-events/src/processing.rs,2,{}
27021597764222977,0,111591,process,trace-to-events/src/processing.rs,1,{}
